id,species,zone,geometry,generation,genetic_resistance,appetite,aggression,mobility,alive,mutated,hybrid
0,A,1,POINT (1.5647301461951995 2.6490584384718536),1,0.68,0.46,0.39,0.6,False,False,False
1,A,1,POINT (2.640949527771619 0.9773405721443966),1,0.48,0.79,0.33,0.64,False,False,False
2,A,1,POINT (3.3051824458544776 2.899260349495808),1,0.94,0.75,0.3,0.74,False,False,False
3,A,1,POINT (1.4349540552508002 2.3071286907088986),1,0.58,0.49,0.15,0.71,False,False,False
4,A,3,POINT (3.3244139693047132 3.3777636809186733),1,0.7,0.36,0.17,0.4,True,False,False
5,A,1,POINT (2.2925555590845366 3.2790219407732),1,0.43517502381839773,0.3817502748953082,0.022553922991327593,0.6,True,False,False
6,A,3,POINT (2.838717074754549 2.6867758349745463),1,0.5591115033110359,0.36289064353518813,0.1530332234384611,0.43,True,True,False
7,A,1,POINT (2.1005065619941377 3.401520483207421),1,0.88,0.77,0.32,0.74,False,False,False
8,A,1,POINT (3.7843300228290953 2.001368614936179),1,0.89,0.61,0.13,0.39,False,False,False
9,A,1,POINT (1.674637952859929 2.4828586749827357),1,0.49,0.78,0.6,0.71,False,False,False
10,A,1,POINT (2.2012721267638047 1.7847840816117668),1,0.45,0.74,0.29,0.68,False,False,False
11,A,1,POINT (1.4656465795272076 3.206402159017351),1,0.42,0.53,0.26,0.71,False,False,False
12,A,1,POINT (1.0412485753332796 0.8534508921721411),1,0.84,0.51,0.24,0.56,False,False,False
13,A,1,POINT (1.7166895820541823 2.6283160412308093),1,0.8870585476983635,0.35058484672935153,0.3778216493441082,0.55,True,False,False
14,A,1,POINT (2.4668355270205153 0.282867663851821),1,0.58,0.79,0.51,0.41,False,False,False
15,A,2,POINT (1.8244813442260681 3.615447409025027),1,0.3943279058340249,0.2446182982389529,0.3946805202741009,0.82,False,False,False
16,A,1,POINT (3.248678627920599 2.849860695363288),1,0.55,0.64,0.53,0.55,False,False,False
17,A,1,POINT (2.285717902060514 2.0627155066322924),1,0.71,0.73,0.29,0.9,False,False,False
18,A,1,POINT (2.489235373527723 1.3911544973904562),1,0.52,0.73,0.45,0.65,False,False,False
19,A,1,POINT (1.6115022260455696 0.7743623164331455),1,0.4353668368199337,0.2997483788203185,0.3790329573840831,0.54,True,True,False
20,A,1,POINT (2.3412088960105035 0.0514272114816388),1,0.43,0.49,0.6,0.51,False,False,False
21,A,1,POINT (2.402778552090796 3.398198976162692),1,0.68,0.65,0.5,0.58,False,False,False
22,A,1,POINT (3.257415566098828 0.8496602301482619),1,0.8097582848420297,0.18247099465391683,0.1176589840691624,0.42,True,False,False
23,A,1,POINT (2.3488490805220916 3.408778903694803),1,0.74,0.61,0.18,0.53,False,False,False
24,A,1,POINT (1.3833122758284375 1.27644306431193),1,0.63,0.64,0.4,0.79,False,False,False
25,A,1,POINT (3.095866288635859 0.8758982029254283),1,0.72,0.64,0.48,0.7,False,False,False
26,A,1,POINT (3.156669997249406 1.6024300135357876),1,0.52,0.41,0.25,0.54,False,False,False
27,A,1,POINT (2.8787711581344926 3.4043965682797612),1,0.44,0.5,0.58,0.43,False,False,False
28,A,1,POINT (1.6786762730488722 3.79721433205686),1,0.8641554029900661,0.40088032386468614,0.5314513198327209,0.82,False,False,False
29,A,1,POINT (0.5650477328204264 2.1370890146467416),1,0.8,0.5,0.36,0.7,False,False,False
30,A,1,POINT (3.7658322083623696 2.893656002599355),1,0.52,0.48,0.5,0.59,False,False,False
31,A,1,POINT (0.8654416734561527 3.3008706499668303),1,0.9157819163531258,0.15396503249165547,0.20467147256944368,0.44,True,False,False
